Composer,Title,Series,Order No.,Price (EUR),Binding,In Stock,New,On Request
Joachim Raff,"Complete piano sonatas: e flat minor, op. 14 (versions 1844 and 1882), Fantasy sonata for piano, d minor, op. 168",I/1-3,0101-ALL0,49.00,hc,NO,NO,NO
Joachim Raff,"Piano sonata, e flat minor, op. 14, first version 1844",I/1,0101-0141,18.00,sc,NO,NO,NO
Joachim Raff,"Piano sonata, e flat minor, op. 14, second version 1882",I/2,0101-0142,22.00,sc,NO,NO,NO
Joachim Raff,"Fantasy sonata for piano, d minor, op. 168",I/3,0101-1680,20.00,sc,NO,NO,NO
Joachim Raff,"Piano suites Nos 1-3, op. 69, 71, 72",II/1-3,0102-1313,49.00,hc,YES,YES,NO
Joachim Raff,"Piano suite No. 1, a minor, op. 69",II/1,0102-0690,18.00,sc,NO,NO,NO
Joachim Raff,"Piano suite No. 2, c major, op. 71",II/2,0102-0710,18.00,sc,NO,NO,NO
Joachim Raff,"Piano suite No. 3, e minor, op. 72",II/3,0102-0720,20.00,sc,NO,NO,NO
Joachim Raff,"Two pieces for piano: Cavatina and La Fileuse, op. 157",III/1,0103-1570,13.00,sc,NO,NO,NO
Joachim Raff,"From the Advent Season / Aus der Adventzeit, eight pieces for piano, op. 216",III/7,0103-2160,24.00,sc,YES,YES,NO
Joachim Raff,Scherzo for piano op. 3 (original and revised versions),III/8,0103-0030,24.00,sc,YES,YES,NO
Joachim Raff,Six suites for cello solo by J.S. Bach transcribed for piano by Raff,V/1,0105-2170,59.00,hc,SOON,NO,NO
Joachim Raff,Cello suite No. 1 by J.S. Bach transcribed for piano,V/1a,0105-2171,16.00,sc,YES,NO,NO
Joachim Raff,Cello suite No. 2 by J.S. Bach transcribed for piano,V/1b,0105-2172,16.00,sc,YES,NO,NO
Joachim Raff,Cello suite No. 3 by J.S. Bach transcribed for piano,V/1c,0105-2173,16.00,sc,YES,NO,NO
Joachim Raff,Cello suite No. 4 by J.S. Bach transcribed for piano,V/1d,0105-2174,16.00,sc,YES,NO,NO
Joachim Raff,Cello suite No. 5 by J.S. Bach transcribed for piano,V/1e,0105-2175,16.00,sc,YES,NO,NO
Joachim Raff,Cello suite No. 6 by J.S. Bach transcribed for piano,V/1f,0105-2176,16.00,sc,YES,NO,NO
Joachim Raff,"Violin sonata No. 4, op. 129, and Duo WoO 55, piano score and separate violin part",IX/4&12,0109-1290,59.00,hc,YES,YES,NO
Joachim Raff,"Volker, cyclic tone poem for violin and piano, op. 203, piano score and solo violin part",IX/6,0109-2030,60.00,sc,YES,NO,NO
Joachim Raff,"String quartet No. 2, a major, op. 90, score and parts in folder",X/2,0110-0900,77.00,hc,YES,YES,NO
Joachim Raff,"String quartet No. 2, a major, op. 90, score",X/2,0110-0900a,58.00,hc,YES,NO,NO
Joachim Raff,"String quartet No. 2, a major, op. 90, set of parts in folder",X/2,0110-0900b,36.00,sc,YES,NO,NO
Joachim Raff,"String quartet No. 4, a minor, op. 137, score and parts in folder",X/4,0110-1370,77.00,hc,NO,NO,NO
